nome_blox,course_name,area_do_conhecimento,area_funcional,nota
Gestão de TI: NERD ou CEO?,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,653.6999999999997
PROGRAMAÇÃO ORIENTADA A OBJETO,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",635.3
Agro.export,ADMINISTRACAO,Técnico,Estratégia e Negociação,597.1
Dados Organizados em Estruturas,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",428.29999999999995
EMPREENDEDORISMO,ADMINISTRACAO,Complementar,Estratégia e Negociação,619.2000000000002
ADMINISTRACAO FINANCEIRA I,ADMINISTRACAO,Técnico,Finanças e Economia,605.6999999999999
Economia II,ADMINISTRACAO,Técnico,Finanças e Economia,0
ANÁLISE E PROJETO DE SISTEMAS II,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",581.0999999999999
NOSSO SOLO SAGRADO,ENGENHARIA CIVIL,Técnico,Ciências do Ambiente,0
Sistemas Distribuídos: Aplicações e Projetos,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,0
METODOLOGIA DA PESQUISA,ADMINISTRACAO,Complementar,Sociedade e Mundo,564.6000000000001
Aplicações para dispositivos móveis com NativeScript,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",439.20000000000005
Programando com Interface Gráfica e Banco de Dados,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",233.50000000000006
Seja Seguro e Auditável,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,419.20000000000005
LEALDADE: O PARCEIRO CERTO PARA SEU NEGÓCIO,ADMINISTRACAO,Técnico,Marketing,251.40000000000006
FUNDAMENTOS DE ADMINISTRAÇÃO I,ADMINISTRACAO,Técnico,Marketing,395.20000000000005
AS LEIS DE NEWTON FUNCIONAM NA PRÁTICA?,ENGENHARIA CIVIL,Técnico,Física e Química,380.90000000000003
"Inteligência Artificial, com aplicações práticas!",SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,338.5
Criação de Documentos e Diagramas de um Sistema Computadorizado,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",0
Amante da Sabedoria,ADMINISTRACAO,Básico,Sociedade e Mundo,334.7
Dominando as Redes na Supremacia Online,SISTEMAS DE INFORMAÇÃO,Técnico,Hardware e Redes,346.4000000000001
Desmistificando o mundo das taxas de variação,ENGENHARIA CIVIL,Quantitativo,Raciocínio Lógico e Matemático,104.5
Aplicando a Teoria Geral de Sistemas,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,0
PROJETANDO O SEU TCC,SISTEMAS DE INFORMAÇÃO,Complementar,Projetos,248
EAD - Gerenciando Aplicações em Containers com Kubernetes Integrações,SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,0
"EAD - Direito Empresarial, Tecnologia e Mercado",SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,0
Economia,ADMINISTRACAO,Básico,Finanças e Economia,251.80000000000007
NEGÓCIOS FAMILIARES,CIÊNCIAS CONTÁBEIS,Técnico,Estratégia e Negociação,314.70000000000005
ADMINISTRAÇÃO FINANCEIRA II,ADMINISTRACAO,Técnico,Finanças e Economia,477.00000000000006
Ser ou Não Ser? De Risc a PC,SISTEMAS DE INFORMAÇÃO,Técnico,Hardware e Redes,363.1000000000001
Vitrine dos Negócios,ADMINISTRACAO,Complementar,Estratégia e Negociação,277.1
Dominando o Mundo com a Lógica,SISTEMAS DE INFORMAÇÃO,Quantitativo,Tecnologia da Informação,308.70000000000005
A Ética contábil com enfoque na atualidade .,CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,0
A Controladoria de modo eficiente com práticas eficazes.,CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,0
MATEMÁTICA COMPUTACIONAL,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,478.5000000000002
ADMINISTRACAO DE SISTEMAS DE INFORMAÇÃO,ADMINISTRACAO,Técnico,"Software, Programação e Dados",468.6
AQUILO QUE PERTENCE AO CARÁTER - ÉTICA,CIÊNCIAS CONTÁBEIS,Básico,Sociedade e Mundo,153.5
PLANEJAR PARA DECIDIR,SISTEMAS DE INFORMAÇÃO,Técnico,Estratégia e Negociação,344.7
DA GEOLOGIA UMA INTRODUÇÃO,ENGENHARIA CIVIL,Técnico,Ciências do Ambiente,286.5
ESTÁGIO SUPERVISIONADO I,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,652.5
"A Revolução Digital ",ADMINISTRACAO,Técnico,Tecnologia da Informação,121.39999999999999
Enigma Matemático,ENGENHARIA CIVIL,Quantitativo,Raciocínio Lógico e Matemático,311.6000000000001
REDAÇÃO NOTA MIL- Saiba como escrever e se dar bem.,ADMINISTRACAO,Básico,Sociedade e Mundo,177.3
Rondo.Agro,ADMINISTRACAO,Técnico,Estratégia e Negociação,0
Profissionalize sua Empresa,ADMINISTRACAO,Técnico,Estratégia e Negociação,308.59999999999997
"O ""Como"" e o ""Por que"" dos Materiais",ENGENHARIA CIVIL,Técnico,Materiais,227.70000000000002
EAD - Direito Empresarial e Tecnologia,SISTEMAS DE INFORMAÇÃO,Complementar,Sociedade e Mundo,225
REDAÇÃO NOTA MIL- Saiba como escrever e se dar bem.,CIÊNCIAS CONTÁBEIS,Básico,Sociedade e Mundo,159.4
A Ética contábil aplicada as práticas contábeis.,CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,267
Desempenhando um Bom  Controle Contábil,CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,228.2
CLUBE DA MATEMÁTICA,ENGENHARIA DE COMPUTAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,106.8
ADMINISTRACAO MERCADOLÓGICA II,ADMINISTRACAO,Técnico,Marketing,558.7
LÓGICA COMPUTACIONAL O PRINCÍPIO DE TUDO,SISTEMAS DE INFORMAÇÃO,Quantitativo,Tecnologia da Informação,319.1
Estratégia de Sísifo,ADMINISTRACAO,Técnico,Estratégia e Negociação,260.2
Explorando o Direito Alfandegário,CIÊNCIAS CONTÁBEIS,Básico,Sociedade e Mundo,0
Mercado de capitais: Um passo para aplicar.,CIÊNCIAS CONTÁBEIS,Técnico,Finanças e Economia,0
FUNDAMENTOS DE ADMINISTRAÇÃO II,ADMINISTRACAO,Técnico,Estratégia e Negociação,295.1
É um lance de Química,ENGENHARIA CIVIL,Técnico,Física e Química,212
