nome_blox,status,nome_curso,Record Count,area_conhecimento
Como funciona a EJA?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),78,1
Aprender brincando: ludicidade e pensamento pedagógico,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),78,1
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),78,1
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,cancelled,Extensão em Negócios e Inovação,72,1
A Gestão de Pessoas Contemporânea,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),72,1
Até onde vai o impacto da inovação na educação,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),72,1
Como é a sociedade brasileira?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),72,1
Tudo que você precisa saber sobre logística reversa,cancelled,Extensão em Negócios e Inovação,72,1
O que é Educação Infantil?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),72,1
Concepções pedagógicas da avaliação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),72,1
Desafios da EJA,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),72,1
"Ética e Responsabilidade Social ",cancelled,Extensão em Negócios e Inovação,68,1
O que um gestor precisa saber sobre didática,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),66,1
O que é Educação Infantil?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),66,1
"Ética e Responsabilidade Social ",ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),66,1
Como é a sociedade brasileira?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),66,1
Como funciona a EJA?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),66,1
Contabilidade Para Não Contadores,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),66,1
O que é Educação Infantil?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),66,1
Avaliações internas e externas na educação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),66,1
Competitividade de mercado,cancelled,Pós-Graduação em Gestão Empresarial,63,1
Introdução a Administração Financeira,cancelled,Extensão em Negócios e Inovação,62,1
Demonstrativos financeiros e contábeis,cancelled,Extensão em Negócios e Inovação,62,1
Competitividade de mercado,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),60,1
A Gestão de Pessoas Contemporânea,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),60,1
O comportamento humano,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),60,1
Sistemas de transporte de mercadorias,cancelled,Extensão em Negócios e Inovação,60,1
Desafios da EJA,cancelled,Extensão em Negócios e Inovação,60,1
Layout industrial inteligente,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),60,1
A Gestão de Pessoas Contemporânea,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),60,1
Fundamentos da pedagogia,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),60,1
Concepções pedagógicas da avaliação,cancelled,Extensão em Negócios e Inovação,60,1
Práticas de Mentoring,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),60,1
Juros e Empréstimos: a avaliação financeira de um projeto,cancelled,Extensão em Negócios e Inovação,56,1
Paradigmas pedagógicos,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),54,1
