,materia,a.conhecimento
9091,Logística Internacional,Negócios e Administração
9092,Análise do Processo Decisório,Saúde e Bem-Estar Social
9093,Direito dos Negócios Internacionais,Direito
9094,Economia Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9095,Finance Planning and Analysis,Negócios e Administração
9096,Planejamento Estratégico de Marketing Internacional,Negócios e Administração
9097,Comércio Internacional,Negócios e Administração
9098,Geopolítica,Educação
9099,Economia Brasileira,"Ciências Sociais, Jornalismo e Informação"
9100,Dinâmica no Mercado Financeiro,Ciências Naturais
9101,Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9102,Transformação Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9103,Estratégias Corporativas e Relações Governamentais,"Ciências Sociais, Jornalismo e Informação"
9104,Instituições Políticas e Relações Governamentais,"Ciências Sociais, Jornalismo e Informação"
9105,Corporate Planning and Execution,Negócios e Administração
9106,Brasil: Ambiente de Negócios,Negócios e Administração
9107,Negociações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9108,Finanças Corporativas Internacionais,Negócios e Administração
9109,Análise de Risco em Negócios Internacionais,Saúde e Bem-Estar Social
9110,PGI I - Mapeamento Setorial e Cadeias Globais de Valor,Educação
9111,Relações Governamentais: Abordagem Pragmática,"Ciências Sociais, Jornalismo e Informação"
9112,Investor Relation: A Pragmatic Approach,Educação
9113,Estágio Supervisionado,programas genericos
9114,Internacionalização de Empresas,Negócios e Administração
9115,Projeto de Graduação Internacional I,programas genericos
9116,Projeto de Graduação Internacional II,programas genericos
9117,Cenários,"Ciências Sociais, Jornalismo e Informação"
9118,Problemas Estratégicos Contemporâneos,"Ciências Sociais, Jornalismo e Informação"
9119,A Nova Cara do Protesto: Das“Primaveras Árabes”ao Occupy Wall Street,"Humanidades, Artes e Linguagens"
9120,Empreendedorismo,Negócios e Administração
9121,Entendendo e Fazendo a Gestão da Diversidade,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9122,Estratégia de Games para Comunicação e Marketing,Negócios e Administração
9123,"Inovação, Estratégia e Desing Thinking",Negócios e Administração
9124,Marketing e a Gestão da Experiência do Cliente,Negócios e Administração
9125,Marketing Mix Varejista,Negócios e Administração
9126,Mitos e Símbolos na Produção da Cultura,"Engenharia, Produção e Construção"
9127,Multibranded Entertainment - As Marcas como Empresas de Comunicação,Negócios e Administração
9128,Neurociência Aplicada ao Mercado,Ciências Naturais
9129,Ser Gestor e Líder: Competências de Comunicação e Negociação para Trabalhar em Equipe,Negócios e Administração
9130,Webdesign,Educação
9131,Inovação e Comportamento do Consumidor,Negócios e Administração
9132,Lider-Coach: Preparando-se para a Liderança do Século XXI,"Humanidades, Artes e Linguagens"
9133,Expressão e Comunicação: Práticas de Apresentação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9134,"Direção de Cinema - Técnica, Conceito e Aplicação","Humanidades, Artes e Linguagens"
9135,Gestão de Pequena e Média Empresa                   ,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9136,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
9137,Narrativas e Roteiros para Vídeo Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9138,Empreendedores e Empreendedorismo Social: Projetos Sociais,Negócios e Administração
9139,Edição e Design de Publicações ,"Humanidades, Artes e Linguagens"
9140,Estudo de Caso em Marketing,Negócios e Administração
9141,Tópicos Emergentes I,Negócios e Administração
9142,Tópicos Emergentes II,Negócios e Administração
9143,Tópicos Emergentes III,Negócios e Administração
9144,Tópicos Emergentes IV,Negócios e Administração
9145,Tópicos Emergentes V,Negócios e Administração
9146,Tópicos Emergentes VI,Negócios e Administração
9147,Diversidade: O Grande Desafio Contemporâneo da Sociedade e das Empresas,Negócios e Administração
9148,"Visões do Contemporâneo: Reflexões sobre a Sociedade, a Cultura e a Política no Século XXI","Ciências Sociais, Jornalismo e Informação"
9149,"Cinema, Identidades e Diversidade","Humanidades, Artes e Linguagens"
9150,Economia Criativa,"Ciências Sociais, Jornalismo e Informação"
9151,Análise de Jogos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9152,Construindo um Futuro Melhor: Vivenciando Negócios de Impacto Social,Negócios e Administração
9153,Negociação Executiva Empresarial e Gestão de Conflitos,Negócios e Administração
9154,Blockchain e Cryptomoedas,Educação
9155,Geomarketing,Educação
9156,Construção de Escalas Métricas e Segmentação de Mercado,"Engenharia, Produção e Construção"
9157,International Organization Behavior and Multi-Cultural Business Environments,Negócios e Administração
9158,"Brand Entertainment: Linguagem, Comunicação e Gestão",Programas Interdisciplinares
9159,Carreira: Desenhando seu Caminho em um Mundo Complexo e Instável,Ciências Naturais
9160,O Que Você Precisa Saber Sobre Inteligência Artificial,"Ciências Sociais, Jornalismo e Informação"
9161,Inovação da Gestão de Pessoas: Desenvolvendo a Mentalidade Empreendedora,Negócios e Administração
9162,Diversidade: uma Visão Crítica e Humanística da Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9163,Análise de Jogos - Digitais e Analógicos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9164,Introdução à Inovação,Negócios e Administração
9165,"Moda, Consumo e Comportamento","Ciências Sociais, Jornalismo e Informação"
9166,Diagnóstico e Projeção Financeira para Empreendedores,Negócios e Administração
9167,Diagnóstico Financeiro do Negócio,Negócios e Administração
9168,Inovação e o Comportamento do Consumidor: Minimizando Riscos de Fracasso em Produtos Inovadores,Negócios e Administração
9169,Construção de Escalas e Segmentação de Mercado,"Engenharia, Produção e Construção"
9170,Análise de Dados Aplicada à Soluções Corporativas,"Engenharia, Produção e Construção"
9171,Audiovisual: Mercados e Carreira,"Humanidades, Artes e Linguagens"
9172,CRM - Costumer Relationship Management,"Agricultura, Silvicultura, Pesca e Veterinária"
9173,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
9174,Game Cultura,Negócios e Administração
9175,Game Design,"Humanidades, Artes e Linguagens"
9176,Gestão Estratégica de Varejo,programas genericos
9177,Programação para Gestores,Negócios e Administração
9178,Comunicação e Consumo: como analisar as mídias,Negócios e Administração
9179,Big Data com Foco em Negócios,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9180,A Cultura do Islã,Negócios e Administração
9181,Arte Brasileira Moderna e Contemporânea,"Humanidades, Artes e Linguagens"
9182,Blockchain,Educação
9183,"Design, Negócios e Política","Ciências Sociais, Jornalismo e Informação"
9184,Gestão Multicultural no Ambiente de Negócios,Negócios e Administração
9185,Mentoria e Gestão para Mentalidade Empreendedora,Negócios e Administração
9186,Negócios de Impacto Social,Negócios e Administração
9187,Práticas Gráficas Experimentais,"Humanidades, Artes e Linguagens"
9188,Princípios de Ergonomia em Ambientes de Trabalho,"Engenharia, Produção e Construção"
9189,Videodocumentário e História,"Humanidades, Artes e Linguagens"
9190,Introdução à Programação Powered By Tech,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9191,Country Studies I - Américas,Educação
9192,Introdução a Métodos e Técnicas de Pesquisa,programas genericos
9193,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9194,História das Relações Internacionais Modernas,"Ciências Sociais, Jornalismo e Informação"
9195,Argumentação e Linguagem I,"Humanidades, Artes e Linguagens"
9196,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
9197,Filosofia Política Moderna,"Ciências Sociais, Jornalismo e Informação"
9198,Fundamentos de Marketing,Negócios e Administração
9199,Inglês I,Educação
9200,Espanhol I,Educação
9201,Introdução ao Estudo das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9202,Temáticas de Ciências Sociais,"Ciências Sociais, Jornalismo e Informação"
9203,Country Studies II - Europa,Educação
9204,História das Relações Internacionais Contemporâneas,Ciências Naturais
9205,Argumentação e Linguagem II,"Humanidades, Artes e Linguagens"
9206,Fundamentos de Direito Internacional,Direito
9207,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9208,Ciência Política,"Humanidades, Artes e Linguagens"
9209,Marketing Mix,Negócios e Administração
9210,Inglês II,Educação
9211,Espanhol II,Educação
9212,Teoria das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9213,Análise de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9214,Country Studies III - África e Oriente Médio,"Humanidades, Artes e Linguagens"
9215,Sistema Político e Econômico Brasileiro,"Ciências Sociais, Jornalismo e Informação"
9216,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9217,Análise Computacional de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9218,Metodologias de Análises Mercadológicas,Educação
9219,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9220,Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9221,Diplomacia Corporativa e Gestão Multicultural,Negócios e Administração
9222,Direito do Comércio Internacional,Direito
9223,Country Studies IV - Ásia e Oceania,"Humanidades, Artes e Linguagens"
9224,Logística Internacional,Negócios e Administração
9225,Análise do Processo Decisório,Saúde e Bem-Estar Social
9226,Direito dos Negócios Internacionais,Direito
9227,Economia Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9228,Finance Planning and Analysis,Negócios e Administração
9229,Planejamento Estratégico de Marketing Internacional,Negócios e Administração
9230,Comércio Internacional,Negócios e Administração
9231,Geopolítica,Educação
9232,Economia Brasileira,"Ciências Sociais, Jornalismo e Informação"
9233,Dinâmica no Mercado Financeiro,Ciências Naturais
9234,Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9235,Transformação Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9236,Estratégias Corporativas e Relações Governamentais,"Ciências Sociais, Jornalismo e Informação"
9237,Instituições Políticas e Relações Governamentais,"Ciências Sociais, Jornalismo e Informação"
9238,Corporate Planning and Execution,Negócios e Administração
9239,Brasil: Ambiente de Negócios,Negócios e Administração
9240,Negociações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9241,Finanças Corporativas Internacionais,Negócios e Administração
9242,Análise de Risco em Negócios Internacionais,Saúde e Bem-Estar Social
9243,PGI I - Mapeamento Setorial e Cadeias Globais de Valor,Educação
9244,Relações Governamentais: Abordagem Pragmática,"Ciências Sociais, Jornalismo e Informação"
9245,Investor Relation: A Pragmatic Approach,Educação
9246,Estágio Supervisionado,programas genericos
9247,Internacionalização de Empresas,Negócios e Administração
9248,Projeto de Graduação Internacional I,programas genericos
9249,Projeto de Graduação Internacional II,programas genericos
9250,Cenários,"Ciências Sociais, Jornalismo e Informação"
9251,Problemas Estratégicos Contemporâneos,"Ciências Sociais, Jornalismo e Informação"
9252,A Nova Cara do Protesto: Das“Primaveras Árabes”ao Occupy Wall Street,"Humanidades, Artes e Linguagens"
9253,Empreendedorismo,Negócios e Administração
9254,Entendendo e Fazendo a Gestão da Diversidade,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9255,Estratégia de Games para Comunicação e Marketing,Negócios e Administração
9256,"Inovação, Estratégia e Desing Thinking",Negócios e Administração
9257,Marketing e a Gestão da Experiência do Cliente,Negócios e Administração
9258,Marketing Mix Varejista,Negócios e Administração
9259,Mitos e Símbolos na Produção da Cultura,"Engenharia, Produção e Construção"
9260,Multibranded Entertainment - As Marcas como Empresas de Comunicação,Negócios e Administração
9261,Neurociência Aplicada ao Mercado,Ciências Naturais
9262,Ser Gestor e Líder: Competências de Comunicação e Negociação para Trabalhar em Equipe,Negócios e Administração
9263,Webdesign,Educação
9264,Inovação e Comportamento do Consumidor,Negócios e Administração
9265,Lider-Coach: Preparando-se para a Liderança do Século XXI,"Humanidades, Artes e Linguagens"
9266,Expressão e Comunicação: Práticas de Apresentação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9267,"Direção de Cinema - Técnica, Conceito e Aplicação","Humanidades, Artes e Linguagens"
9268,Gestão de Pequena e Média Empresa                   ,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9269,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
9270,Narrativas e Roteiros para Vídeo Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9271,Empreendedores e Empreendedorismo Social: Projetos Sociais,Negócios e Administração
9272,Edição e Design de Publicações ,"Humanidades, Artes e Linguagens"
9273,Estudo de Caso em Marketing,Negócios e Administração
9274,Tópicos Emergentes I,Negócios e Administração
9275,Tópicos Emergentes II,Negócios e Administração
9276,Tópicos Emergentes III,Negócios e Administração
9277,Tópicos Emergentes IV,Negócios e Administração
9278,Tópicos Emergentes V,Negócios e Administração
9279,Tópicos Emergentes VI,Negócios e Administração
9280,Diversidade: O Grande Desafio Contemporâneo da Sociedade e das Empresas,Negócios e Administração
9281,"Visões do Contemporâneo: Reflexões sobre a Sociedade, a Cultura e a Política no Século XXI","Ciências Sociais, Jornalismo e Informação"
9282,"Cinema, Identidades e Diversidade","Humanidades, Artes e Linguagens"
9283,Economia Criativa,"Ciências Sociais, Jornalismo e Informação"
9284,Análise de Jogos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9285,Construindo um Futuro Melhor: Vivenciando Negócios de Impacto Social,Negócios e Administração
9286,Negociação Executiva Empresarial e Gestão de Conflitos,Negócios e Administração
9287,Blockchain e Cryptomoedas,Educação
9288,Geomarketing,Educação
9289,Construção de Escalas Métricas e Segmentação de Mercado,"Engenharia, Produção e Construção"
9290,International Organization Behavior and Multi-Cultural Business Environments,Negócios e Administração
9291,"Brand Entertainment: Linguagem, Comunicação e Gestão",Programas Interdisciplinares
9292,Carreira: Desenhando seu Caminho em um Mundo Complexo e Instável,Ciências Naturais
9293,O Que Você Precisa Saber Sobre Inteligência Artificial,"Ciências Sociais, Jornalismo e Informação"
9294,Inovação da Gestão de Pessoas: Desenvolvendo a Mentalidade Empreendedora,Negócios e Administração
9295,Diversidade: uma Visão Crítica e Humanística da Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9296,Análise de Jogos - Digitais e Analógicos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9297,Introdução à Inovação,Negócios e Administração
9298,"Moda, Consumo e Comportamento","Ciências Sociais, Jornalismo e Informação"
9299,Diagnóstico e Projeção Financeira para Empreendedores,Negócios e Administração
9300,Diagnóstico Financeiro do Negócio,Negócios e Administração
9301,Inovação e o Comportamento do Consumidor: Minimizando Riscos de Fracasso em Produtos Inovadores,Negócios e Administração
9302,Construção de Escalas e Segmentação de Mercado,"Engenharia, Produção e Construção"
9303,Análise de Dados Aplicada à Soluções Corporativas,"Engenharia, Produção e Construção"
9304,Audiovisual: Mercados e Carreira,"Humanidades, Artes e Linguagens"
9305,CRM - Costumer Relationship Management,"Agricultura, Silvicultura, Pesca e Veterinária"
9306,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
9307,Game Cultura,Negócios e Administração
9308,Game Design,"Humanidades, Artes e Linguagens"
9309,Gestão Estratégica de Varejo,programas genericos
9310,Programação para Gestores,Negócios e Administração
9311,Comunicação e Consumo: como analisar as mídias,Negócios e Administração
9312,Big Data com Foco em Negócios,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9313,A Cultura do Islã,Negócios e Administração
9314,Arte Brasileira Moderna e Contemporânea,"Humanidades, Artes e Linguagens"
9315,Blockchain,Educação
9316,"Design, Negócios e Política","Ciências Sociais, Jornalismo e Informação"
9317,Gestão Multicultural no Ambiente de Negócios,Negócios e Administração
9318,Mentoria e Gestão para Mentalidade Empreendedora,Negócios e Administração
9319,Negócios de Impacto Social,Negócios e Administração
9320,Práticas Gráficas Experimentais,"Humanidades, Artes e Linguagens"
9321,Princípios de Ergonomia em Ambientes de Trabalho,"Engenharia, Produção e Construção"
9322,Videodocumentário e História,"Humanidades, Artes e Linguagens"
9323,Introdução à Programação Powered By Tech,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9324,História das Relações Internacionais,"Humanidades, Artes e Linguagens"
9325,Letramento Acadêmico aplicado às Relações Internacionais,"Agricultura, Silvicultura, Pesca e Veterinária"
9326,Ciência Política,"Humanidades, Artes e Linguagens"
9327,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9328,Temáticas de Ciências Sociais,"Ciências Sociais, Jornalismo e Informação"
9329,Modelagem de Negócios ,Negócios e Administração
9330,Inglês I,Educação
9331,Espanhol I,Educação
9332,Regional Studies 1 - Américas,"Engenharia, Produção e Construção"
9333,Fundamentos de Marketing,Negócios e Administração
9334,Teoria das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9335,Direito Internacional Público e Direitos Humanos,Direito
9336,Análise e Visualização de Dados,"Engenharia, Produção e Construção"
9337,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9338,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9339,Diplomacia Corporativa,Negócios e Administração
9340,Inglês II,Educação
9341,Espanhol II,Educação
9342,Organizações e Regimes Internacionais,"Ciências Sociais, Jornalismo e Informação"
9343,Análise da Politica Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9344,Projetos de Cooperação Internacional,"Agricultura, Silvicultura, Pesca e Veterinária"
9345,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9346,Marketing Estratégico,Negócios e Administração
9347,Regional Studies 3 - África,"Engenharia, Produção e Construção"
9348,Finance Planning and Analysis,Negócios e Administração
9349,Economia Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9350,Geopolítica,Educação
9351,Sistemas Político e Econômico Brasileiros,"Ciências Sociais, Jornalismo e Informação"
9352,International Marketing Planning (PMI) (ENG),Negócios e Administração
9353,Gestão de Comércio Exterior,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9354,Inteligência Artificial aplicadas à Relações Internacionais,"Engenharia, Produção e Construção"
9355,Regional Studies 4 - Ásia e Oceania,"Engenharia, Produção e Construção"
9356,Política Internacional Contemporânea,"Ciências Sociais, Jornalismo e Informação"
9357,Corporate Finance: Value Sustaintability & Modeling,Educação
9358,Políticas de Comércio Exterior,"Ciências Sociais, Jornalismo e Informação"
9359,Análise de Risco e Cenários em Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9360,Financial Decision Tools and Modeling,programas genericos
9361,Negociações Complexas e Gestão de Crises,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9362,PGI I - Mapeamento Setorial e Cadeias Globais de Valor,Educação
9363,Estágio Supervisionado,programas genericos
9364,Internacionalização de Empresas,Negócios e Administração
9365,PGI II - Análise de Risco em Negócios Internacionais,Saúde e Bem-Estar Social
9366,PGI III - Estratégia de Internacionalização de Negócios,Negócios e Administração
9367,Direito Aplicado à Administração,Direito
9368,Laboratório de Apredizagem,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9369,Criatividade,Educação
9370,Pensamento Científico,programas genericos
9371,"Propósito, Carreira e Autorrealização",Ciências Naturais
9372,Raciocínio Computacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9373,Lógica,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9374,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
9375,Espanhol I,Educação
9376,Inglês I,Educação
9377,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9378,Cálculo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9379,Teoria Geral do Direito,Direito
9380,Sociologia,"Ciências Sociais, Jornalismo e Informação"
9381,Teorias Políticas,"Engenharia, Produção e Construção"
9382,Lingua Portuguesa,"Engenharia, Produção e Construção"
9383,Marketing I,Negócios e Administração
9384,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9385,Contabilidade Empresarial,Negócios e Administração
9386,Espanhol II,Educação
9387,Inglês II,Educação
9388,Direito Internacional Público,Direito
9389,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9390,História do Pensamento Filosófico,"Humanidades, Artes e Linguagens"
9391,Marketing II,Negócios e Administração
9392,Metodos Quantitativos,programas genericos
9393,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
9394,Avaliação de Operações Financeiras,Negócios e Administração
9395,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9396,Antropologia,"Ciências Sociais, Jornalismo e Informação"
9397,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
9398,Marketing III - Planejamento Estratégico,Negócios e Administração
9399,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9400,Sistema de Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
9401,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
9402,Formação Economica e Politica do Brasil,Negócios e Administração
9403,Finanças Corporativas,Negócios e Administração
9404,Direito do Comércio Internacional,Direito
9405,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
9406,Marketing IV - Plano de Marketing,Negócios e Administração
9407,Teoria Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9408,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9409,Geopolítica,Educação
9410,Economia Internacional,"Ciências Sociais, Jornalismo e Informação"
9411,Finanças de Mercado,Negócios e Administração
9412,Logística Internacional,Negócios e Administração
9413,Seminário de Monografia,Serviços
9414,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
9415,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9416,Economia Brasileira Contemporânea,"Ciências Sociais, Jornalismo e Informação"
9417,Finanças Internacionais,Negócios e Administração
9418,História da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9419,Gestão de Comunicação e Marcas Internacionais,Negócios e Administração
9420,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
9421,Projeto Monográfico,Educação
9422,Análise da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9423,Seminário Temático em Relações Internacionais,"Humanidades, Artes e Linguagens"
9424,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
9425,Marketing e Vendas Internacionais,"Humanidades, Artes e Linguagens"
9426,TCC I,programas genericos
9427,Gestão de Pessoas,Negócios e Administração
9428,Diplomacia e Negociação Internacional,Negócios e Administração
9429,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
9430,TCC II,programas genericos
9431,Estágio Supervisionado,programas genericos
9432,Espanhol I,Educação
9433,Inglês I,Educação
9434,Teoria Geral do Direito,Direito
9435,Sociologia,"Ciências Sociais, Jornalismo e Informação"
9436,Teorias Políticas,"Engenharia, Produção e Construção"
9437,Lingua Portuguesa,"Engenharia, Produção e Construção"
9438,Marketing I,Negócios e Administração
9439,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
9440,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9441,Espanhol II,Educação
9442,Inglês II,Educação
9443,Direito Internacional Público,Direito
9444,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9445,Contabilidade Corporativa,Negócios e Administração
9446,História do Pensamento Filosófico,"Humanidades, Artes e Linguagens"
9447,Marketing II,Negócios e Administração
9448,Metodos Quantitativos,programas genericos
9449,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
9450,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9451,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9452,Finanças Corporativas,Negócios e Administração
9453,Antropologia,"Ciências Sociais, Jornalismo e Informação"
9454,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
9455,Marketing III - Planejamento Estratégico,Negócios e Administração
9456,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9457,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
9458,Direito do Comércio Internacional,Direito
9459,Economia Brasileira Contemporânea,"Ciências Sociais, Jornalismo e Informação"
9460,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
9461,Marketing IV - Plano de Marketing,Negócios e Administração
9462,Teoria Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9463,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9464,Geopolítica,Educação
9465,Logística Internacional,Negócios e Administração
9466,Seminário de Monografia,Serviços
9467,Economia Internacional,"Ciências Sociais, Jornalismo e Informação"
9468,Finanças Internacionais,Negócios e Administração
9469,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
9470,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9471,Gestão de Pessoas,Negócios e Administração
9472,História da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9473,Gestão de Comunicação e Marcas Internacionais,Negócios e Administração
9474,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
9475,Projeto Monográfico,Educação
9476,Alianças Estratégicas Globais,Ciências Naturais
9477,Análise da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9478,Seminário Temático em Relações Internacionais,"Humanidades, Artes e Linguagens"
9479,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
9480,TCC I,programas genericos
9481,Diplomacia e Negociação Internacional,Negócios e Administração
9482,Simulador em Ambientes Globais,Educação
9483,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
9484,TCC II,programas genericos
9485,Estágio Supervisionado,programas genericos
9486,Espanhol I,Educação
9487,Inglês I,Educação
9488,Teoria Geral do Direito,Direito
9489,Linguagem,"Humanidades, Artes e Linguagens"
9490,Sociologia,"Ciências Sociais, Jornalismo e Informação"
9491,Teorias Políticas,"Engenharia, Produção e Construção"
9492,Marketing I,Negócios e Administração
9493,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
9494,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9495,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9496,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
9497,Espanhol II,Educação
9498,Inglês II,Educação
9499,Direito Internacional Público,Direito
9500,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9501,Marketing II,Negócios e Administração
9502,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9503,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
9504,Antropologia,"Ciências Sociais, Jornalismo e Informação"
9505,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9506,Finanças Corporativas,Negócios e Administração
9507,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
9508,Marketing III,Negócios e Administração
9509,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9510,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
9511,Direito do Comércio Internacional,Direito
9512,Economia Brasileira Contemporânea,"Ciências Sociais, Jornalismo e Informação"
9513,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
9514,Marketing IV,Negócios e Administração
9515,Teoria Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9516,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9517,Geopolítica,Educação
9518,Logística Internacional,Negócios e Administração
9519,Seminário de Monografia,Serviços
9520,International Economy,Educação
9521,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
9522,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9523,História da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9524,Branding and International Communication,Negócios e Administração
9525,International Finance,Educação
9526,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
9527,Projeto Monográfico,Educação
9528,Análise da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
