,materia,a.conhecimento
1379,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
1380,Análise do Ambiente de Negócios Digitais,Negócios e Administração
1381,Consumo e Entretenimento Digital,Negócios e Administração
1382,Análise de Novos Negócios,Negócios e Administração
1383,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1384,Gestão da Inovação,Negócios e Administração
1385,Administração Financeira,Negócios e Administração
1386,Planejamento Estratégico,Negócios e Administração
1387,Gestão de TI,Negócios e Administração
1388,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1389,Diplomacy And International Negotiation,Negócios e Administração
1390,Branding and International Communication,Negócios e Administração
1391,Direito Tributário,Direito
1392,Mercado de Capitais,Negócios e Administração
1393,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
1394,Projeto Monográfico,Educação
1395,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1396,Logística Internacional,Negócios e Administração
1397,Gestão de Projetos,Negócios e Administração
1398,Consultoria Empresarial,Negócios e Administração
1399,Gestão de Vendas e Trade Marketing,Negócios e Administração
1400,TCC I,programas genericos
1401,Simulador de Negócios,Negócios e Administração
1402,TCC II,programas genericos
1403,Estágio Supervisionado,programas genericos
1404,Criatividade nos Negócios,Saúde e Bem-Estar Social
1405,Matemática Aplicada na Administração,Negócios e Administração
1406,Marketing I,Negócios e Administração
1407,Introdução à Administração Contemporânea,Negócios e Administração
1408,Jogos de Empresas,programas genericos
1409,Linguagem,"Humanidades, Artes e Linguagens"
1410,Finanças Empresariais,Negócios e Administração
1411,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
1412,Teoria Geral do Direito,Direito
1413,Empreendedorismo,Negócios e Administração
1414,Marketing II,Negócios e Administração
1415,Teoria Geral da Administração,Negócios e Administração
1416,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1417,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1418,Marketing III,Negócios e Administração
1419,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1420,Sociologia,"Ciências Sociais, Jornalismo e Informação"
1421,Ética e Responsabilidade Empresarial,Negócios e Administração
1422,Teoria Das Organizações,Negócios e Administração
1423,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1424,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1425,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
1426,Direito Trabalhista,Direito
1427,Gestão de Operações,Negócios e Administração
1428,Marketing IV,Negócios e Administração
1429,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1430,Gestão Contábil,Negócios e Administração
1431,Antropologia,"Ciências Sociais, Jornalismo e Informação"
1432,Gestão de Projetos,Negócios e Administração
1433,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
1434,Estratégicas de Custo e Preço,Negócios e Administração
